"Id","Prediction"
0,4277780.17026666
1,3552230.2985
2,3506533.95673333
3,3172984.89523333
4,3975922.5746
5,5206624.8889
6,4694796.27903333
7,3359660.5261
8,4838793.20113333
9,4089520.43703333
10,4462132.37713333
11,4935635.58346666
12,4328005.31173333
13,4079342.64846667
14,3873182.90393333
15,4178288.33803334
16,4440486.9024
17,3608183.75626667
18,4931689.20946667
19,3374585.19406667
20,2565429.256
21,4916919.64583333
22,4360177.5984
23,4110947.34553334
24,4274156.03093333
25,4369951.64143333
26,3694257.20956667
27,5071146.87013333
28,3676668.89253333
29,5225530.0625
30,4450971.54406667
31,3210542.42373333
32,3349321.1559
33,4240172.31316667
34,3391156.27603333
35,4761629.88
36,3930847.06763333
37,4684385.28313333
38,3762371.74256666
39,4035629.7553
40,5308103.41366667
41,4301365.25096667
42,5721977.58163334
43,4637496.97566667
44,4724754.8516
45,4031565.6447
46,3410388.8509
47,2824465.96196667
48,5415426.54593333
49,4312823.20073333
50,4238146.45443333
51,3263887.50223333
52,4955910.5297
53,2965353.54163333
54,3973004.5733
55,4200553.93716667
56,4611739.6995
57,3817758.17016666
58,4766041.51033333
59,5001144.78673333
60,3356556.79563333
61,3790012.12196667
62,4371159.63736667
63,4149754.16876666
64,4418871.99106667
65,5221648.57593334
66,4681472.12496667
67,5336060.33516666
68,4927136.3107
69,4691533.7875
70,4511665.9234
71,3133507.82323333
72,4658892.6595
73,4041424.0764
74,5529270.17033333
75,5020685.42406667
76,3888361.894
77,4584703.17746666
78,4835870.7323
79,4211542.31226667
80,5377567.49316666
81,5118993.50243334
82,3808659.3102
83,4507815.1034
84,4812411.40653333
85,2491430.04983333
86,4520862.96073333
87,4679630.89216667
88,4086781.80256667
89,3417188.78433333
90,5064012.1317
91,4245297.76203333
92,3807949.98636667
93,4097249.5411
94,5573760.1361
95,3220079.97746667
96,4471926.92476667
97,4734980.00453333
98,4234362.77563333
99,4954905.00223334
100,4661659.6019
101,3230229.70903333
102,3838885.99236667
103,3767550.327
104,3964039.31016666
105,3574484.38356666
106,4102150.8421
107,5134999.61523333
108,4840126.78436667
109,4649070.0763
110,4932295.2257
111,4469476.5794
112,4496726.0445
113,5221080.9778
114,4175849.4622
115,5262874.74563333
116,3222897.83086667
117,4767036.2991
118,4711003.83296666
119,4906194.31596667
120,5006184.889
121,5090858.15103333
122,4647299.7531
123,4693483.81083333
124,3006473.1968
125,4090343.46753333
126,6253008.31353333
127,3806805.34346667
128,4374405.40976667
129,4857377.94943333
130,2907713.4672
131,5056310.3995
132,4335159.5098
133,3630060.9403
134,5145286.14273334
135,4762198.21296666
136,4094501.6314
137,4408939.9605
138,4758597.41773334
139,4232849.2476
140,4357834.7396
141,2765127.22916667
142,4369609.3098
143,3470930.7454
144,4926672.91593334
145,4264587.43553333
146,4021874.7438
147,3703353.79303333
148,4030551.61123333
149,4964949.512
150,4891910.46596667
151,2801976.5657
152,4386556.61406667
153,5303326.3032
154,3365024.1494
155,5226714.94576667
156,4807199.83643333
157,4332645.70416667
158,3739799.3684
159,4049385.7204
160,2843518.6444
161,4451511.8903
162,4133231.5386
163,4461638.60223333
164,5995684.6762
165,3478998.77996667
166,4079742.8237
167,3877284.6246
168,4847145.84856667
169,4596739.4207
170,4309121.3687
171,3391148.2502
172,3447491.65256667
173,4881825.5547
174,4708166.37306667
175,3168707.4661
176,4770983.17936667
177,4777070.19833334
178,4401216.88283333
179,3551173.88656667
180,4813433.20143333
181,4343998.1005
182,5058568.95226667
183,4141414.79936667
184,5757214.9919
185,3505214.97943333
186,4285116.6519
187,5564317.964
188,5259043.49346667
189,4183392.56813333
190,4416582.1922
191,5348980.2226
192,4457280.5418
193,3440505.27463333
194,4768771.52456667
195,4280813.61853333
196,3965816.62013333
197,2702052.01123333
198,3843938.26886667
199,4725875.19406667
200,4845285.5379
201,3494551.27336667
202,4186705.46023333
203,5747656.90506667
204,4634568.3881
205,5308592.37463333
206,5744877.66806667
207,4606566.79476667
208,4897699.08836667
209,3982490.5928
210,4850496.39373333
211,4446470.97773333
212,3002046.7263
213,3521841.4125
214,4849357.66113333
215,2425476.791
216,4398856.53976667
217,4958545.1121
218,4228171.37013333
219,2887455.0176
220,5634534.69246667
221,4570431.54226667
222,4990190.7458
223,4172488.16383333
224,4889383.77073334
225,4627490.7468
226,3020527.75336667
227,4819344.42176667
228,3285658.54536666
229,5340162.69853333
230,3962153.1266
231,4637495.9433
232,4643880.0374
233,3977339.9121
234,3738832.02873333
235,5384957.7736
236,4159786.08566666
237,3882250.63696667
238,4127011.8541
239,4906592.30793334
240,4375220.37233333
